,time,X1c.PAR1,X1c.PAR2,X1c.PAR3,X1c.PAR4,X1c.T1,X1c.T2,X1c.T3,X1c.T4,X1c.RH1,X1c.RH2,X1c.RH3,X1c.RH4,X1b.PAR1,X1b.PAR2,X1b.PAR3,X1b.PAR4,X1b.T1,X1b.T2,X1b.T3,X1b.T4,X1b.RH1,X1b.RH2,X1b.RH3,X1b.RH4,X1p.PAR1,X1p.PAR2,X1p.PAR3,X1p.PAR4,X1p.T1,X1p.T2,X1p.T3,X1p.T4,X1p.RH1,X1p.RH2,X1p.RH3,X1p.RH4
1,0,125.73,27.25,10.03,0.07,21.28,20.19,19.95,20.42,73.57,84.02,82.35,76.94,108.89,61.9,40.1,0.06,20.45,20.22,20.63,20.9,76.2,79.18,75.33,73.52,144.9,116.96,85.2,2.73,20.49,20.62,19.99,20.31,77.79,77.01,81.93,77.98
2,1,125.76,27.25,10.14,0.07,21.28,20.18,19.95,20.4,73.67,84.04,82.35,76.91,108.93,61.9,40.1,0.06,20.45,20.26,20.6,20.89,76.2,79.21,75.36,73.58,144.97,117.03,85.24,2.73,20.5,20.62,20,20.3,77.87,77.04,82.03,77.75
3,2,125.73,27.25,9.99,0.07,21.27,20.18,19.95,20.4,73.83,84.06,82.36,76.94,108.93,61.9,40.1,0.1,20.46,20.26,20.61,20.89,76.26,79.21,75.47,73.64,144.94,116.96,85.2,2.73,20.48,20.61,19.98,20.27,77.97,77.05,82.08,77.72
4,3,125.62,27.22,9.99,0.07,21.27,20.16,19.98,20.4,74.07,84.06,82.39,76.97,108.82,61.86,40.07,0.06,20.49,20.26,20.59,20.87,76.41,79.27,75.51,73.73,144.86,116.84,85.13,2.73,20.52,20.61,19.98,20.29,78.13,77.14,82.15,77.63
5,4,125.69,27.29,9.99,0.07,21.25,20.18,19.98,20.4,74.15,84.05,82.39,77.01,108.89,61.93,40.07,0.06,20.48,20.26,20.62,20.9,76.58,79.32,75.63,73.85,144.94,116.92,85.16,2.73,20.52,20.61,19.99,20.25,78.21,77.22,82.25,77.54
6,5,125.65,27.25,9.95,0.07,21.29,20.16,19.97,20.43,74.32,84.08,82.41,77.03,108.85,61.79,40.07,0.06,20.46,20.24,20.63,20.9,76.76,79.3,75.71,73.97,144.86,116.88,85.16,2.73,20.52,20.62,20,20.26,78.17,77.29,82.34,77.52
7,6,125.69,27.29,9.95,0.07,21.29,20.16,19.94,20.43,74.48,84.07,82.37,77.03,108.89,61.82,40.1,0.06,20.45,20.28,20.64,20.91,76.83,79.39,75.75,74.09,144.97,116.96,85.2,2.73,20.5,20.62,20.01,20.26,78.15,77.35,82.43,77.45
8,7,125.69,27.25,9.99,0.07,21.29,20.14,19.99,20.44,74.66,84.07,82.44,77.02,108.89,61.79,40.07,0.06,20.46,20.26,20.62,20.9,76.97,79.43,75.73,74.12,144.86,116.96,85.2,2.73,20.53,20.62,20.01,20.28,78.17,77.4,82.51,77.48
9,8,125.65,27.25,10.1,0.07,21.27,20.19,19.96,20.42,74.8,84.08,82.41,77,108.85,61.79,40.07,0.1,20.47,20.27,20.63,20.93,77.2,79.51,75.78,74.19,144.82,116.88,85.16,2.73,20.51,20.62,20.01,20.29,78.08,77.39,82.51,77.38
10,9,125.76,27.29,9.99,0.07,21.26,20.19,19.96,20.44,74.86,83.99,82.48,76.99,108.93,61.79,40.1,0.06,20.47,20.26,20.61,20.9,77.32,79.59,75.8,74.25,144.9,117,85.2,2.73,20.51,20.62,20,20.28,78.04,77.44,82.62,77.29
